latest|match
larval_site_character_3|LH-1_site character_3
larval_turbidity_3|LH-3_turbidity?
larval_salinity_3|LH-3_salinity?
larval_vegetation_3|LH-3_vegetation?
larval_shade_3|LH-3_shade?
larval_water_current_3|LH-3_water current
larval_size_3|LH-3_size
larval_depth_3|LH-3_depth
larval_permanence_3|
larval_other_fauna_3|LH-3_other fauna?
larval_control_present_3|LH-3_larval control present?
larval_notes|Larval notes
bioassay_representative_of_complex_at_site|Bioassay representative of complex at site
bioassay_representative_of_complex_at_site_if_disaggregated_values_combined_without_adjustments|Bioassay representative of complex at site if disaggregated values combined without adjustments?
generation|Generation
wild_caught_larvae_or_adults|Wild caught larvae or adults
lower_age_days|Lower age (days)
upper_age_days|Upper age (days)
test_protocol|Test protocol
insecticide_tested|Insecticide tested
insecticide_class|Insecticide class
irac_moa|IRAC MoA
irac_moa_code|IRAC MoA Code
concentration_percent|Concentration (%)
concentration_µg|Concentration (µg)
exposure_period_min|Exposure period (min)
intensity_multiplier|Intensity (multiplier)
synergist_tested|Synergist tested
synergist_concentration|Synergist concentration
synergist_concentration unit|Synergist concentration unit
mosquitoes_tested_n|No. mosquitoes tested
mosquitoes_dead_n|No. mosquitoes dead
percent_mortality|Percent mortality
knock_down_exposure_time_min|Knock down exposure time (min)
mosquitoes_knocked_down_n|No. mosquitoes knocked down
knock_down_percent|% KD
kdt_50_percent_min|KDT50% (min)
kdt_90_percent_min|KDT90% (min)
kdt_95_percent_min|KDT95% (min)
bioassay_notes|Bioassay notes
genotypic_test_representative_of_species_at_site|Representative of complex at site?
genotypic_test_representative_of_species_at_site_if_disaggregated_values_combined_without_adjustments|Representative of complex at site if disaggregated values combined without adjustments?
minor_species_missing_allele_frequency_data|Minor species missing allele frequency data
notes_on_population_representative|Notes on population representative
genotypic_sample_first_been_through_bioassay_tests|
genotypic_sample_linked_to_a_specific_bioassay|
bioassay_subsample_used_in_genotypic_test|
notes_on_bioassay_linkage|Notes on bioassay matching
vgsc_method_1|Vgsc Method 1
vgsc_method_2|
vgsc_number_of_mosquitoes_tested|Vgsc Number of mosquitoes tested 
vgsc_generation|Vgsc Generation
vgsc_kdr_notes|Vgsc/kdr notes
vgsc995l_vgsc995l_n|L/L (no.)
vgsc995l_vgsc995l_percent|L/L (%)
vgsc995l_vgsc995f_n|L/F (no.)
vgsc995l_vgsc995f_percent|L/F (%)
vgsc995f_vgsc995f_n|F/F (no.)
vgsc995f_vgsc995f_percent|F/F (%)
vgsc995l_vgsc995s_n|L/S (no.)
vgsc995l_vgsc995s_percent|L/S (%)
vgsc995s_vgsc995s_n|S/S (no.)
vgsc995s_vgsc995s_percent|S/S (%)
vgsc995_c_n|L/C (no.)
vgsc995l_vgsc995c_percent|L/C (%)
vgsc995c_vgsc995c_n|C/C (no.)
vgsc995c_vgsc995c_percent|C/C (%)
null_vgsc995c_or_vgsc995c_vgsc995c_n|null/C or C/C (no.)
null_vgsc995c_or_vgsc995c_vgsc995c_percent|null/C or C/C (%)
vgsc995f_s_n|F/S (no.)
vgsc995f_vgsc995s_percent|F/S (%)
vgsc995f_vgsc995c_n|F/C (no.)
vgsc995f_vgsc995c_percent|F/C (%)
susceptible_susceptible_n|SS (no.)
susceptible_susceptible_percent|SS (%)
resistant_susceptible_n|RS (no.)
resistant_susceptible_percent|RS (%)
resistant_resistant_n|RR (no.)
resistant_resistant_percent|RR (%)
vgsc995l_percent|Vgsc-995L
vgsc995f_percent|Vgsc-995F
vgsc995s_percent|Vgsc-995S
vgsc995c_percent|Vgsc-995C
kdr_percent|kdr
vgsc402v_vgsc402v_n|402/402  (wildtype no.)
vgsc402v_vgsc402v_percent|402/402(%) (wildtype percent)
vgsc402v_vgsc402l_n|402/402L (heterozygote no.)
vgsc402v_vgsc402l_percent|402/402L (%) (heterzygote percent)
vgsc402l_vgsc402l_n|402L/402L (no.) (homozygote no.)
vgsc402l_vgsc402l_percent|402L/402L (%) (homozygote percent)
vgsc402v_percent|Vgsc-402
vgsc_402l_percent|Vgsc-402L
vgsc1570n_vgsc1570n_n|1570/1570  (wildtype no.)
vgsc1570n_vgsc1570n_percent|1570/1570(%) (wildtype percent)
vgsc1570n_vgsc1570y_n|1570/1570Y (heterozygote no.)
vgsc1570n_1570y_percent|1570/1570Y (%) (heterozygote percent)
vgsc1570y_vgsc1570y_n|1570Y/1570Y (no.) (homozygote no.)
vgsc1570y_vgsc1570y_percent|1570Y/1570Y (%) (homozygote percent)
vgsc1570n_percent|Vgsc-1570 (wildtype)
vgsc1570y_percent|Vgsc-1570Y (resistant)
rdl_method_1|Rdl Method 1
rdl_number_of_mosquitoes_tested|Rdl Number of mosquitoes tested 
rdl_generation|Rdl Generation
rdl_notes|Rdl notes
rdl296c_rdl296c_n|C/C (no.)
rdl296c_rdl296c_percent|C/C (%)
rdl296c_rdl296g_n|C/G (no.)
rdl296c_rdl296g_percent|C/G (%)
rdl296g_rdl296g_n|G/G (no.)
rdl296g_rdl296g_percent|G/G (%)
rdl296c_rdl296s_n|C/S (no.)
rdl296c_rdl296s_percent|C/S (%)
rdl296s_rdl296s_n|S/S (no.)
rdl296s_rdl296s_percent|S/S (%)
rdl296g_rdl296s_n|G/S (no.)
rdl296g_rdl296s_percent|G/S (%)
rdl296c_percent|Rdl-296C
rdl296g_percent|Rdl-296G
rdl296s_percent|Rdl-296S
ace1_method_1|Ace-1 Method 1
ace1_number_of_mosquitoes_tested|Ace-1 Number of mosquitoes tested 
ace1_generation|Ace-1 Generation
ace_1_notes|Ace-1 notes
ace1_280g_ace1_280g_n|280/280  (wildtype no.)
ace1_280g_ace1_280g_percent|280/280(%) (wildtype percent)
ace1_280g_ace1_280s_n|280/280S (heterozygote no.)
ace1_280g_ace1_280s_percent|280/280S (%) (heterozygote percent)
ace1_280s_ace1_280s_n|280S/280S (no.) (homozygote no.)
ace1_280s_ace1_280s_percent|280S/280S (%) (homozygote percent)
ace1_280g_wildtype|Ace-280 (wildtype)
ace1_280s_resistant|Ace-280S (resistant)
gste_method_1|Gste Method 1
gste_number_of_mosquitoes_tested|Gste Number of mosquitoes tested 
gste_generation|Gste Generation
gste_notes|Gste notes
gste2_114I_gste2_114I_n|114I/114I  (wildtype no.)
gste2_114I_gste2_114I_percent|114I/114I (%) (wildtype percent)
gste2_114I_gste2_114t_n|114I/114T (heterozygote no.)
gste2_114I_gste2_114t_percent|114I/114T (%) (heterozygote percent)
gste2_114t_gste2_114t_n|114T/114T (no.) (homozygote no.)
gste2_114t_gste2_114t_percent|114T/114T (%) (homozygote percent)
gste2_114I_percent|Gste-114I (wildtype)
gste2_114t_percent|Gste-114T (resistant)
gste2_119l_gste2_119l_n|119/119  (wildtype no.)
gste2_119l_gste2_119l_percent|119/119 (%) (wildtype percent)
gste2_119l_gste2_119v_n|119/119V (heterozygote no.)
gste2_119l_gste2_119v_percent|119/119V (%) (heterozygote percent)
gste2_119v_gste2_119v_n|119V/119V (no.) (homozygote no.)
gste2_119v_gste2_119v_percent|119V/119V (%) (homozygote percent)
gste2_119l_percent|Gste-119 (wildtype)
gste2_119v_percent|Gste-119V (resistant)
cyp_method_1|Cyp Method 1
cyp_number_of_mosquitoes_tested|Cyp Number of mosquitoes tested 
cyp_generation|Cyp Generation
cyp_notes|Cyp notes
cyp4j5_43l_cyp4j5_43l_n|L43L/L43L  (wildtype no.)
cyp4j5_43l_cyp4j5_43l_percent|L43L/L43L (%) (wildtype percent)
cyp4j5_43l_cyp4j5_43f_n|L43L/L43F (heterozygote no.)
cyp4j5_43l_cyp4j5_43f_percent|L43L/L43F (%) (heterozygote percent)
cyp4j5_43f_cyp4j5_43f_n|L43F/L43F (no.) (homozygote no.)
cyp4j5_43f_cyp4j5_43f_percent|L43F/L43F (%) (homozygote percent)
cyp4j5_43l_percent|Cyp4j5-L43L (wildtype)
cyp4j5_43f_percent|Cyp4j5-L43F (resistant)
cyp6p4_236wt_cyp6p4_236wt_n|Cyp6p4-236WT/Cyp6p4-236WT  (wildtype no.)
cyp6p4_236wt_cyp6p4_236wt_percent|Cyp6p4-236WT/Cyp6p4-236WT (%) (wildtype percent)
cyp6p4_236wt_cyp6p4_236m_n|Cyp6p4-236WT/Cyp6p4-236M (heterozygote no.)
cyp6p4.236wt_cyp6p4_236m_percent|Cyp6p4-236WT/Cyp6p4-236M (%) (heterozygote percent)
cyp6p4_236m_cyp6p4_236m_n|Cyp6p4-236M/Cyp6p4-236M (no.) (homozygote no.)
cyp6p4_236m_cyp6p4_236m_percent|Cyp6p4-236M/Cyp6p4-236M (%) (homozygote percent)
cyp6p4_236wt_percent|Cyp6p4-236WT (wildtype)
cyp6p4_236m_percent|Cyp6p4-236M (resistant)
cyp6aap_wt_cyp6aap_wt_n|Cyp6aap-WT/Cyp6aap-WT  (wildtype no.)
cyp6aap_wt_cyp6aap_wt_percent|Cyp6aap-WT/Cyp6aap-WT (%) (wildtype percent)
cyp6aap_wt_cyp6aap_dup1_n|Cyp6aap-WT/Cyp6aap-Dup1 (heterozygote no.)
cyp6aap_wt_cyp6aap_dup1_percent|Cyp6aap-WT/Cyp6aap-Dup1 (%) (heterozygote percent)
cyp6aap_dup1_cyp6aap_dup1_n|Cyp6aap-Dup1/Cyp6aap-Dup1 (no.) (homozygote no.)
cyp6aap_dup1_cyp6aap_dup1_percent|Cyp6aap-Dup1/Cyp6aap-Dup1 (%) (homozygote percent)
cyp6aap_wt_percent|Cyp6aap-WT (wildtype)
cyp6aap_dup1_percent|Cyp6aap-Dup1 (resistant)
data_abstracted_by|data abstracted by
data_checked_by|data checked by
final_check_by|final check
